AirlineCode,AirlineID,SourceAirportCode,SourceAirportID,DestinationAirportCode,DestinationAirportID,CodeShare,Stops,Equipments
AL6,AL6,ACX,7506,NAY,6341,Y,0,737
AL6,AL6,ACX,7506,PVG,3406,,0,319
AL6,AL6,AKL,2006,MEL,3339,Y,0,73H
AL6,AL6,AKL,2006,SYD,3361,Y,0,73H
AL6,AL6,AMS,580,BCN,1218,,0,737
AL6,AL6,AMS,580,BLQ,1538,,0,EMJ
AL6,AL6,AMS,580,CDG,1382,Y,0,737
AL6,AL6,AMS,580,CPH,609,,0,EMJ 737 F70
AL6,AL6,AMS,580,FCO,1555,,0,737
AL6,AL6,AMS,580,FRA,340,Y,0,EMJ F70
AL6,AL6,AMS,580,LHR,507,Y,0,737 F70
AL6,AL6,AMS,580,MAD,1229,,0,737
AL6,AL6,AMS,580,PVG,3406,Y,0,74M
AL6,AL6,AOG,9844,PVG,3406,Y,0,737
AL6,AL6,AQG,6427,SHA,3391,,0,EMB
AL6,AL6,AQG,6427,WUH,3376,,0,EMB
AL6,AL6,AVA,9849,NAY,6341,Y,0,737
AL6,AL6,BAV,6346,NAY,6341,Y,0,737
AL6,AL6,BAV,6346,NKG,3388,,0,320
AL6,AL6,BAV,6346,SHA,3391,Y,0,738 737
AL6,AL6,BAV,6346,SJW,6347,Y,0,737
AL6,AL6,BCN,1218,AMS,580,,0,737
AL6,AL6,BFJ,9025,NAY,6341,Y,0,737
AL6,AL6,BHY,6351,KMG,3382,,0,737
AL6,AL6,BHY,6351,PVG,3406,,0,320
AL6,AL6,BKK,3885,CTU,3395,,0,320
AL6,AL6,BKK,3885,KMG,3382,,0,737
AL6,AL6,BKK,3885,NGB,3387,,0,320
AL6,AL6,BKK,3885,PVG,3406,,0,333 320 332
AL6,AL6,BLQ,1538,AMS,580,,0,EMJ
AL6,AL6,BNE,3320,SIN,3316,Y,0,744
AL6,AL6,BSD,7505,KMG,3382,,0,733
AL6,AL6,CAN,3370,HFE,3389,,0,320
AL6,AL6,CAN,3370,HGH,3386,,0,320
AL6,AL6,CAN,3370,HIA,7898,,0,320
AL6,AL6,CAN,3370,HYN,6384,,0,733
AL6,AL6,CAN,3370,KHN,3384,,0,320
AL6,AL6,CAN,3370,KMG,3382,,0,737 733
AL6,AL6,CAN,3370,LHW,3378,,0,738
AL6,AL6,CAN,3370,LJG,4033,,0,737
AL6,AL6,CAN,3370,LUM,6376,,0,737
AL6,AL6,CAN,3370,NAY,6341,Y,0,737
AL6,AL6,CAN,3370,NGB,3387,,0,738 320
AL6,AL6,CAN,3370,NKG,3388,,0,320
AL6,AL6,CAN,3370,NRT,2279,Y,0,767
AL6,AL6,CAN,3370,PVG,3406,,0,738
AL6,AL6,CAN,3370,SHA,3391,,0,738 321 333 AB6
AL6,AL6,CAN,3370,TAO,3390,,0,320
AL6,AL6,CAN,3370,TNA,4108,,0,320
AL6,AL6,CAN,3370,TYN,3369,,0,737
AL6,AL6,CAN,3370,WNZ,6392,,0,733 738 320 737
AL6,AL6,CAN,3370,WUH,3376,,0,738 73G
AL6,AL6,CAN,3370,WUX,6390,,0,E90 320 321
AL6,AL6,CAN,3370,XIY,3379,,0,320
AL6,AL6,CAN,3370,XMN,3383,Y,0,738
AL6,AL6,CCU,3043,KMG,3382,,0,737
AL6,AL6,CDG,1382,AMS,580,Y,0,737
AL6,AL6,CDG,1382,PEK,3364,Y,0,772 77W
AL6,AL6,CDG,1382,PVG,3406,,0,332
AL6,AL6,CEI,3932,KMG,3382,,0,737
AL6,AL6,CGK,3275,PVG,3406,,0,777
AL6,AL6,CGO,3375,DLC,3404,,0,737
AL6,AL6,CGO,3375,HGH,3386,,0,320
AL6,AL6,CGO,3375,INC,4085,,0,320
AL6,AL6,CGO,3375,KMG,3382,,0,733 737
AL6,AL6,CGO,3375,NGB,3387,,0,320
AL6,AL6,CGO,3375,NKG,3388,,0,320
AL6,AL6,CGO,3375,PVG,3406,,0,320 738
AL6,AL6,CGO,3375,SHA,3391,,0,738 737 320 321
AL6,AL6,CGO,3375,URC,3399,,0,320
AL6,AL6,CGO,3375,XNN,6366,,0,320
AL6,AL6,CGQ,4380,PEK,3364,,0,320
AL6,AL6,CGQ,4380,PVG,3406,,0,320
AL6,AL6,CGQ,4380,XIY,3379,,0,320
AL6,AL6,CHC,2009,SYD,3361,Y,0,73H
AL6,AL6,CHG,6772,DLC,3404,,0,319
AL6,AL6,CIF,6342,HET,6345,,0,320
AL6,AL6,CIF,6342,HRB,3400,,0,320
AL6,AL6,CIF,6342,NAY,6341,Y,0,737
AL6,AL6,CIF,6342,NKG,3388,,0,320
AL6,AL6,CIF,6342,TSN,3368,,0,320
AL6,AL6,CIH,6343,NAY,6341,Y,0,737
AL6,AL6,CIH,6343,TYN,3369,,0,EMB
AL6,AL6,CIH,6343,WUH,3376,,0,EMB
AL6,AL6,CJJ,6008,HGH,3386,Y,0,739
AL6,AL6,CJU,2370,NGB,3387,,0,320
AL6,AL6,CJU,2370,PEK,3364,,0,321
AL6,AL6,CJU,2370,PVG,3406,,0,738
AL6,AL6,CJU,2370,WNZ,6392,,0,320
AL6,AL6,CKG,3393,CZX,4109,,0,320
AL6,AL6,CKG,3393,HFE,3389,,0,320
AL6,AL6,CKG,3393,KMG,3382,,0,320 738
AL6,AL6,CKG,3393,NAY,6341,Y,0,737
AL6,AL6,CKG,3393,NGB,3387,,0,320
AL6,AL6,CKG,3393,NKG,3388,,0,320
AL6,AL6,CKG,3393,PVG,3406,,0,320 321 346
AL6,AL6,CKG,3393,SHA,3391,,0,321 738
AL6,AL6,CKG,3393,TNA,4108,,0,320
AL6,AL6,CKG,3393,TXN,6387,Y,0,737
AL6,AL6,CKG,3393,TYN,3369,,0,738
AL6,AL6,CKG,3393,WNZ,6392,,0,320
AL6,AL6,CKG,3393,WUX,6390,,0,320
AL6,AL6,CKG,3393,XIY,3379,,0,320 319
AL6,AL6,CKG,3393,XNN,6366,,0,320
AL6,AL6,CKG,3393,ZAT,6378,,0,733
AL6,AL6,CMB,3024,KMG,3382,,0,737
AL6,AL6,CMB,3024,MLE,3156,,0,737
AL6,AL6,CNX,3931,KMG,3382,,0,737
AL6,AL6,CNX,3931,PVG,3406,,0,320
AL6,AL6,CPH,609,AMS,580,,0,737 EMJ F70
AL6,AL6,CSX,3371,ICN,3930,,0,332
AL6,AL6,CSX,3371,KMG,3382,,0,320 733 319
